symbol,strategy_name,Total Return [%],Sharpe Ratio,Max Drawdown [%],Win Rate [%],Expectancy,Exposure Time [%]
ETHBTC,RSI and Bollinger Bands,-66.76847639378805,-22.4981669521752,66.82887436066018,13.750000000000002,-2.782019849741166,50.208333333333336
WBTCBTC,RSI and Bollinger Bands,-65.01254618521823,-84.22440342780698,65.01254618521823,0.0,-2.432304729967599,49.81646825396825
SOLBTC,RSI and Bollinger Bands,-68.10866788655704,-23.862210801662425,68.51027211468073,29.87012987012987,-2.9484271812362426,51.0639880952381
XRPBTC,RSI and Bollinger Bands,-64.15683165800476,-16.214567026175764,64.26665413994871,29.71887550200803,-2.5765795846588238,49.1344246031746
BERABTC,RSI and Bollinger Bands,-56.83590809173289,-7.7698675407219895,63.99449025654167,49.80237154150198,-2.2464785807009053,46.8212739641311
KAITOBTC,RSI and Bollinger Bands,-19.5377447326175,-2.0571819443208397,27.633537725313477,60.273972602739725,-2.67311474701148,46.68308702791462
LTCBTC,RSI and Bollinger Bands,-52.514976957822704,-11.35006767118097,53.10836596318404,42.29249011857708,-2.058298389113653,46.43849206349206
RUNEBTC,RSI and Bollinger Bands,-87.29109895840509,-19.09965979128264,87.35755072855721,34.2560553633218,-3.0141013733418114,52.36607142857142
DOGEBTC,RSI and Bollinger Bands,-9.006028257818718,-0.6228916324182763,25.81046809034663,47.292418772563174,-0.32512737392847413,48.42261904761905
BNBBTC,RSI and Bollinger Bands,-63.640322881709245,-27.086176176674744,63.739423995645204,20.080321285140563,-2.5569022724120667,51.07638888888889
LAYERBTC,RSI and Bollinger Bands,-47.153847695389054,-6.355194144521337,57.52852900739636,48.76847290640394,-2.2193581257198742,49.453748006379584
LINKBTC,RSI and Bollinger Bands,-71.05465018161348,-22.48923429308877,71.43294565056294,30.685920577617328,-2.5630588641381564,47.78521825396825
HEIBTC,RSI and Bollinger Bands,-45.23912630019877,-7.47234523365169,49.11088274617138,54.601226993865026,-2.7686840363144443,52.01241134751773
QTUMBTC,RSI and Bollinger Bands,-67.47644698541995,-14.783854109743787,69.14387894532616,41.19496855345912,-2.1191736154345957,51.302083333333336
SHELLBTC,RSI and Bollinger Bands,-14.109297383461033,-9.313330916330672,24.115137301308508,42.857142857142854,-8.450716822290056,57.666666666666664
SUIBTC,RSI and Bollinger Bands,-66.82366678609168,-14.558727248389456,68.53524261397975,43.27272727272727,-2.429951519494243,49.50644841269841
NEOBTC,RSI and Bollinger Bands,-77.1200931083191,-28.020904512280083,77.83405892025723,25.41899441340782,-2.152913698732647,48.46478174603175
TAOBTC,RSI and Bollinger Bands,-68.5214416585889,-13.4670874739777,68.81043115487493,43.40277777777778,-2.3645552546101523,48.851686507936506
HBARBTC,RSI and Bollinger Bands,4.0187688605172305,1.0739848227780546,31.457306364129796,67.51054852320675,0.21311555116439296,56.7609126984127
TRXBTC,RSI and Bollinger Bands,26.74381371147015,2.9870980753455862,15.187029330877486,72.5,1.671488356966882,70.0421626984127
